Track ID | Distance (px) | Avg Speed (px/s) | Frames Tracked
-----------------------------------------------------------------
      1  |  120.30000305175781  |  53.79999923706055  |      67
      2  |  798.5999755859375  |  113.4000015258789  |     211
      3  |  634.7000122070312  |  95.0999984741211  |     200
      4  |  342.70001220703125  |  84.19999694824219  |     122
      5  |  525.5999755859375  |  80.4000015258789  |     196
      6  |  995.5999755859375  |          127.5  |     234
      7  |  620.0999755859375  |  90.19999694824219  |     206
      8  |           0  |              0  |       1
     10  |       743.5  |  99.9000015258789  |     223
     13  |  4.300000190734863  |  43.20000076293945  |       3
     22  |           0  |              0  |       1
     23  |  7.800000190734863  |  58.70000076293945  |       4
     24  |         0.5  |  7.699999809265137  |       2
     27  |  1.899999976158142  |           11.5  |       5
     29  |       425.0  |  471.79998779296875  |      27
     32  |        42.0  |  78.69999694824219  |      16
     34  |  17.399999618530273  |  173.39999389648438  |       3
     35  |  1024.300048828125  |  333.70001220703125  |      92
     36  |  581.2999877929688  |  189.39999389648438  |      92
     39  |        35.0  |  149.6999969482422  |       7
     45  |       333.0  |  148.89999389648438  |      67
     66  |       290.5  |          130.0  |      67
     93  |  209.6999969482422  |  261.79998779296875  |      24
     95  |  174.1999969482422  |  208.89999389648438  |      25
     97  |  125.0999984741211  |  70.80000305175781  |      53
    100  |  243.1999969482422  |  148.8000030517578  |      49
    101  |  139.3000030517578  |  90.80000305175781  |      46
    109  |  71.9000015258789  |  119.69999694824219  |      18
    118  |  40.70000076293945  |           87.0  |      14
    121  |  66.4000015258789  |          199.0  |      10
    125  |  29.299999237060547  |  97.5999984741211  |       9
    129  |  22.399999618530273  |  134.10000610351562  |       5
    131  |  7.099999904632568  |  70.5999984741211  |       3

Total unique subjects tracked: 33
